PRICE,MAINTENANCE,DOORS,PERSONS,LUG_BOOT,SAFETY,CLASS,CLASS_2
vhigh,vhigh,2,2,small,low,unacc,0
vhigh,vhigh,2,2,small,med,unacc,0
vhigh,vhigh,2,2,small,high,unacc,0
vhigh,vhigh,2,2,med,low,unacc,0
vhigh,vhigh,2,2,med,med,unacc,0
vhigh,vhigh,2,2,med,high,unacc,0
vhigh,vhigh,2,2,big,low,unacc,0
vhigh,vhigh,2,2,big,med,unacc,0
vhigh,vhigh,2,2,big,high,unacc,0
vhigh,vhigh,2,4,small,low,unacc,0
vhigh,vhigh,2,4,small,med,unacc,0
vhigh,vhigh,2,4,small,high,unacc,0
vhigh,vhigh,2,4,med,low,unacc,0
vhigh,vhigh,2,4,med,med,unacc,0
vhigh,vhigh,2,4,med,high,unacc,0
vhigh,vhigh,2,4,big,low,unacc,0
vhigh,vhigh,2,4,big,med,unacc,0
vhigh,vhigh,2,4,big,high,unacc,0
vhigh,vhigh,2,more,small,low,unacc,0
vhigh,vhigh,2,more,small,med,unacc,0
vhigh,vhigh,2,more,small,high,unacc,0
vhigh,vhigh,2,more,med,low,unacc,0
vhigh,vhigh,2,more,med,med,unacc,0
vhigh,vhigh,2,more,med,high,unacc,0
vhigh,vhigh,2,more,big,low,unacc,0
vhigh,vhigh,2,more,big,med,unacc,0
vhigh,vhigh,2,more,big,high,unacc,0
vhigh,vhigh,3,2,small,low,unacc,0
vhigh,vhigh,3,2,small,med,unacc,0
vhigh,vhigh,3,2,small,high,unacc,0
vhigh,vhigh,3,2,med,low,unacc,0
vhigh,vhigh,3,2,med,med,unacc,0
vhigh,vhigh,3,2,med,high,unacc,0
vhigh,vhigh,3,2,big,low,unacc,0
vhigh,vhigh,3,2,big,med,unacc,0
vhigh,vhigh,3,2,big,high,unacc,0
vhigh,vhigh,3,4,small,low,unacc,0
vhigh,vhigh,3,4,small,med,unacc,0
vhigh,vhigh,3,4,small,high,unacc,0
vhigh,vhigh,3,4,med,low,unacc,0
vhigh,vhigh,3,4,med,med,unacc,0
vhigh,vhigh,3,4,med,high,unacc,0
vhigh,vhigh,3,4,big,low,unacc,0
vhigh,vhigh,3,4,big,med,unacc,0
vhigh,vhigh,3,4,big,high,unacc,0
vhigh,vhigh,3,more,small,low,unacc,0
vhigh,vhigh,3,more,small,med,unacc,0
vhigh,vhigh,3,more,small,high,unacc,0
vhigh,vhigh,3,more,med,low,unacc,0
vhigh,vhigh,3,more,med,med,unacc,0
vhigh,vhigh,3,more,med,high,unacc,0
vhigh,vhigh,3,more,big,low,unacc,0
vhigh,vhigh,3,more,big,med,unacc,0
